school_name,g,wins,losses,win_loss_pct,srs,sos,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Kentucky,8,6,2,.750,18.09,-0.41,6,1,0,0,734,586,74.0,122.1,.286,.402,.612,50.3,59.9,12.6,13.4,.589,10.5,24.9,.212
La Salle,8,6,2,.750,-1.74,-2.74,5,0,0,2,633,625,67.6,110.3,.328,.374,.551,48.8,51.1,8.2,7.6,.519,12.6,29.1,.235
Lafayette,9,1,8,.111,-10.77,3.35,1,2,0,4,545,642,68.5,88.5,.229,.441,.469,46.1,61.7,11.5,11.5,.448,17.4,26.3,.145
Lamar,8,4,4,.500,-8.65,-9.08,2,0,0,4,669,618,75.8,108.6,.337,.365,.551,52.8,60.8,10.1,10.5,.517,15.9,34.2,.245
Le Moyne,8,3,5,.375,-17.02,-2.35,2,0,1,5,605,596,72.5,104.3,.277,.499,.540,42.7,59.9,14.1,11.2,.510,12.8,21.2,.202
Lehigh,8,1,7,.125,-7.81,1.62,1,2,0,5,592,633,74.9,98.7,.234,.361,.514,48.6,46.6,11.0,6.7,.487,16.2,27.3,.168
Liberty,8,6,2,.750,12.56,4.56,2,0,0,1,640,524,66.3,120.8,.259,.481,.601,54.0,54.7,7.7,4.0,.590,13.2,30.7,.171
Lindenwood,8,3,5,.375,-14.48,0.52,1,1,0,4,519,593,69.8,92.8,.334,.310,.489,48.5,36.6,8.2,8.5,.451,16.4,24.8,.231
Lipscomb,10,6,4,.600,-0.19,-2.42,3,0,1,3,815,756,73.7,110.6,.274,.424,.588,46.8,49.7,9.5,9.7,.567,14.6,21.8,.196
Little Rock,8,4,4,.500,0.99,-0.26,4,1,0,2,653,643,72.6,109.0,.389,.335,.544,47.4,50.4,9.8,8.7,.501,13.5,31.7,.286
Long Beach State,9,5,4,.556,0.60,1.04,1,0,3,2,692,696,73.8,104.2,.315,.288,.536,50.1,48.1,11.6,12.0,.512,15.4,30.8,.208
Long Island University,7,1,6,.143,-13.44,-0.87,0,1,0,5,451,539,72.9,88.4,.347,.350,.502,45.6,44.2,8.6,4.7,.461,20.4,20.8,.246
Longwood,8,7,1,.875,-0.68,-10.02,6,0,1,1,648,491,69.8,112.5,.443,.316,.549,60.1,45.5,11.1,10.4,.509,14.9,42.0,.309
Louisiana,8,5,3,.625,-2.22,-0.55,3,0,0,2,645,580,70.0,115.2,.234,.403,.570,49.4,48.8,13.0,12.3,.553,14.3,35.1,.161
Louisiana State,8,5,3,.625,2.90,-2.98,3,1,0,1,596,549,68.7,106.8,.437,.344,.562,50.7,40.7,14.0,14.5,.521,17.8,32.7,.317
Louisiana Tech,8,6,2,.750,9.96,5.13,5,0,1,2,622,496,68.8,113.1,.366,.397,.557,54.4,54.9,13.1,10.5,.524,13.9,33.4,.258
Louisiana-Monroe,6,3,3,.500,-8.46,3.94,2,1,1,2,402,435,68.0,98.5,.308,.354,.478,53.4,58.7,11.8,10.7,.456,16.3,40.4,.183
Louisville,7,4,3,.571,-4.11,-5.97,4,1,0,0,535,522,70.9,105.9,.492,.318,.523,52.7,41.7,7.3,7.0,.466,15.4,35.8,.357
Loyola (IL),8,5,3,.625,5.91,3.41,4,1,0,0,564,544,69.4,101.4,.334,.422,.546,51.1,64.3,8.5,14.3,.512,16.6,24.0,.240
Loyola (MD),8,1,7,.125,-13.90,-3.90,0,2,1,4,537,617,69.4,93.7,.260,.422,.510,47.4,58.1,8.6,7.8,.489,18.8,26.9,.166
Loyola Marymount,9,5,4,.556,4.11,-0.64,4,1,0,1,699,620,70.6,110.1,.368,.448,.567,53.4,48.9,7.4,7.0,.529,15.3,30.7,.274
Maine,9,5,4,.556,-6.77,-7.02,1,1,2,3,642,588,68.4,104.2,.301,.343,.553,48.9,47.9,13.5,6.9,.520,14.9,23.4,.224
Manhattan,7,4,3,.571,-11.93,3.57,2,0,2,3,464,545,71.7,90.8,.205,.323,.499,45.6,56.3,11.2,4.6,.472,18.3,22.7,.151
Marist,6,4,2,.667,-5.15,-9.15,1,0,3,2,407,383,67.9,99.8,.339,.342,.544,48.4,52.3,11.8,8.9,.526,16.7,21.6,.211
Marquette,8,6,2,.750,21.28,9.03,3,0,1,1,634,536,69.8,113.4,.291,.428,.571,47.1,51.5,12.7,6.3,.549,11.3,26.1,.201
Marshall,7,2,5,.286,-4.88,1.98,1,1,0,1,518,566,75.3,98.3,.317,.383,.493,50.5,55.7,8.5,14.2,.452,15.2,32.8,.230
Maryland,8,4,4,.500,1.89,-3.62,4,0,0,2,548,504,68.0,100.7,.446,.390,.501,49.7,45.7,13.1,12.0,.457,15.6,33.4,.302
Maryland-Baltimore County,10,5,5,.500,-13.37,-9.37,4,1,1,4,806,823,77.8,103.6,.282,.340,.545,49.5,43.5,7.2,7.4,.521,16.3,28.4,.193
